time0,time1,time2,time4,time6,time12,time24,time48,time72
12.48065,12.307239,11.704535,11.557785,12.993365,11.823537,12.05852,13.084383,13.485268
10.016278,10.16186,10.188101,11.082668,11.884199,11.275491,11.843841,11.698452,11.837621
6.338433,6.314294,6.336186,6.320523,6.684955,6.296178,6.517789,6.584736,6.888539
6.420967,6.46822,6.544531,6.498872,6.946744,6.460996,6.788456,7.463611,7.34047
9.73957,9.812673,10.018153,9.972298,9.221757,9.945677,9.797015,8.846738,8.916386
11.079313,10.764517,11.216119,10.833998,10.753034,10.787261,10.946692,10.487865,10.615649
6.178366,6.321211,6.850399,7.248156,7.565222,7.425378,7.803915,6.852792,6.778386
6.855241,6.439131,6.478761,7.115589,6.592386,7.611015,6.745362,6.723167,6.791126
8.906896,8.512986,8.17127,8.822422,9.98493,8.705401,8.944914,10.568328,10.962632
11.172859,10.955818,11.122815,10.790655,10.38529,10.585062,10.572379,10.250137,10.221575
10.010247,10.197079,9.356815,9.528406,8.983372,9.30002,9.35117,8.296858,8.372322
6.94198,7.076573,7.101355,8.271672,9.07634,8.887932,9.153494,9.281283,9.109333
7.51895,7.888552,7.98461,7.670553,9.414831,8.084681,8.490075,9.721537,9.55544
8.199327,9.137996,8.962413,8.050486,8.024524,7.867864,7.714993,8.03427,8.477635
6.273177,6.185731,6.327494,6.280035,6.656231,6.275431,6.316947,7.018169,7.271732
13.834872,13.750795,13.417079,13.368228,13.545883,13.175249,12.602862,13.614177,14.18139
8.239193,7.976348,8.008474,7.340388,6.885335,7.106698,6.781297,6.73943,7.27761
6.204955,6.193373,6.264626,6.298097,7.047529,6.46131,6.432456,7.823104,8.01878
8.034674,8.060226,8.004817,7.943381,7.183522,7.715425,7.504799,7.387158,7.333519
6.48559,6.482713,6.466078,6.651301,7.096017,6.612733,6.682291,8.85829,9.346387
6.939175,6.738582,6.633897,6.94035,8.04162,7.397567,7.447529,8.020556,8.243766
6.174451,6.239822,6.094528,6.242431,6.300873,6.347068,6.355823,6.46847,6.719988
9.586037,9.548364,9.416921,8.453381,7.457331,7.791617,7.310001,7.976914,8.527555
12.603312,11.918558,11.665002,11.474264,11.190781,11.452179,11.557244,10.493726,10.875313
11.846777,11.374826,10.762779,10.457545,7.632799,9.808514,8.657183,7.305732,7.577392
9.912414,10.84088,10.806071,9.678808,9.524475,9.657981,9.952569,9.299333,9.665182
6.586346,6.587209,6.553493,6.90618,7.361148,7.035378,7.087241,7.343701,7.399014
10.484677,10.556591,10.65797,10.257407,10.085528,10.075144,10.060198,9.633935,9.553264
9.024003,8.669058,8.869322,10.793221,9.785282,10.591364,9.588817,9.297994,9.342169
6.344982,6.51074,6.566256,6.502567,8.161345,6.463665,6.91885,8.06662,8.063055
7.130594,7.387131,8.492172,9.012771,9.041452,9.083469,9.047164,9.213852,8.901356
7.323538,8.593282,8.342494,7.116046,6.625028,6.862909,6.5342,6.485458,6.602673
7.629422,7.783294,7.387762,6.771061,6.701184,6.642336,6.774251,6.615888,6.675487
6.115926,6.301441,6.354096,6.360235,7.779097,6.624962,7.074043,8.073291,8.159033
7.237158,7.250809,7.536648,8.451815,9.240969,9.043008,9.687104,9.808137,9.749443
9.331494,8.966931,9.296989,8.423335,9.358679,8.810328,9.121387,9.625973,9.639628
6.281013,6.296248,6.354248,6.289656,6.408572,6.328573,6.300764,6.940817,7.509309
6.356706,6.358385,6.472432,6.393641,6.694892,6.425477,6.680031,6.963024,7.289425
6.620588,6.969752,6.643713,6.95155,6.537531,6.441514,6.682541,6.407378,6.471837
8.207634,8.044176,7.622314,7.16896,7.231352,6.956079,6.831461,7.487216,7.334508
9.320014,9.58132,10.389413,9.752006,8.9405,9.778771,9.368981,8.884178,8.641652
7.837259,7.372684,7.109617,7.219582,7.75824,7.125709,7.502358,7.776163,8.007669
6.058312,6.258549,6.224918,6.213177,6.835465,6.396394,7.083864,6.837737,6.653107
6.819269,6.623355,6.585602,7.175726,8.005966,7.516618,7.997881,8.401441,8.429284
6.233546,6.366527,6.182619,6.223664,6.71773,6.326236,6.43764,6.893902,6.709576
6.110071,6.171331,6.321567,6.25571,6.864501,6.362482,6.283284,7.712504,7.136013
7.66679,7.424754,7.515131,7.723465,8.250322,7.805216,7.351318,7.76125,7.962523
8.959132,8.614223,8.57366,9.166934,8.582164,9.228678,8.656778,7.658093,7.292779
12.118928,11.541619,11.729414,11.818722,10.614253,11.422248,11.045042,10.436253,10.494866
8.857549,8.553554,8.769414,7.960698,8.575289,8.420577,8.64667,8.910372,9.192663
7.474289,7.966065,7.606823,9.061758,10.071299,9.85231,10.155818,9.965082,10.128692
7.696505,7.564129,7.804875,7.511112,7.597269,7.519431,7.411082,7.234559,7.083052
9.70433,9.253562,9.309138,8.090794,9.221655,8.111064,8.250858,9.149872,9.185478
7.348934,7.136334,7.711491,6.857994,6.669199,6.848311,6.569307,6.515138,6.559099
6.671392,6.833957,6.260873,6.24,6.162773,6.174374,6.133795,6.147337,6.142289
10.860053,10.317451,9.891097,8.651095,7.541647,8.427372,7.743201,7.19876,7.444712
7.048949,6.895326,6.714888,6.75353,6.793799,6.628816,6.501877,7.110124,7.902629
6.445557,6.809126,7.303263,7.884773,7.495141,7.761135,7.016159,7.877372,8.71686
6.192764,6.516796,6.632278,6.39232,6.383827,6.483562,6.448498,6.512602,6.457124
7.602027,8.089013,7.244932,7.904559,8.084234,7.661517,7.909953,8.869715,8.893219
12.061907,11.401885,11.485084,10.90128,10.096852,10.422274,10.17466,9.891198,9.877881
13.464001,13.701675,13.839594,13.027811,13.035145,12.450423,12.51252,13.298569,13.294673
8.032984,7.620443,6.613066,6.657366,6.733179,6.348321,6.631974,7.070473,6.646693
7.147845,7.783741,7.901689,7.722978,7.138401,7.610758,7.278897,7.241028,7.357923
9.164771,9.415143,10.890047,10.675349,11.71461,10.406987,10.699833,11.849277,11.961807
10.364773,9.805362,9.334858,9.296921,10.054658,9.366851,9.883767,9.780152,9.699526
8.691924,8.985,8.966246,8.517089,8.33902,8.562977,8.779223,8.407866,8.292387
7.990916,7.50803,7.535611,8.386161,8.294623,8.384138,8.285862,8.484641,7.724276
10.825348,10.617149,10.185866,10.738116,8.182725,10.659339,9.349414,8.507489,8.704027
6.238213,6.430523,6.274402,6.381798,6.308434,6.573648,6.537019,6.402104,6.715818
7.602146,7.156074,7.315861,7.250463,7.147642,7.289464,7.312361,7.190065,6.953842
6.460767,6.641239,6.489604,6.492876,6.742093,6.545662,6.543613,6.682385,6.81363
6.488237,6.430931,6.408147,6.408973,7.603939,6.347425,6.94422,8.047835,7.977705
7.19316,7.421539,8.054926,8.130462,10.909163,8.166418,8.063146,11.487459,9.939382
6.722256,6.806764,6.901321,6.739991,7.05354,6.534691,6.878922,7.0598,7.491923
6.465417,6.979587,6.582302,6.68472,6.878436,6.745998,6.748325,6.808116,6.774665
10.384249,10.183973,10.0707,10.647692,8.644977,10.925588,9.703846,8.731595,8.61992
6.785732,6.727944,6.697266,6.418762,7.365557,6.483554,6.648376,7.409354,7.175625
7.44663,7.424473,7.447247,7.999938,7.836624,7.454162,7.770756,7.568511,8.10271
